experiment_id	SoyBase_ID	DOI
1	KGK20170714.1	
2	KGK20171006.1	
3	KGK20170712.1	
4	KGK20170915.1	
5	KGK20171027.1	
6	KGK20170803.1	
7	KGK20170825.1	
8	KGK20170908.1	
9	KGK20170714.2	
10	KGK20171002.1	
11	KGK20170814.1	
12	KGK20170920.1	
13	KGK20171018.1	
14	KGK20170707.1	
15	KGK20170711.1	
16	KGK20170808.1	
17	SST20180223.1	
18	SST20180209.1	
19	LBC20180601.2	
20	LBC20180521.2	
21	LBC20180521.1	
22	LBC20180626.1	
23	LBC20180517.1	
24	LBC20180516.3	
25	LBC20180515.1	
26	LBC20180517.2	
27	LBC20180625.3	
28	LBC20180522.2	
29	LBC20180601.3	
30	LBC20180523.4	
31	LBC20180525.2	
32	LBC20180725.1	
33	LBC20180614.7	
34	LBC20180523.6	
35	LBC20180514.2	
36	LBC20180522.3	
37	LBC20180525.3	
38	LBC20180517.3	
39	LBC20180625.4	
40	LBC20180521.6	
41	LBC20180622.1	
42	LBC20180514.1	
43	LBC20180525.4	
44	LBC20180521.5	
45	LBC20180522.4	
46	LBC20180522.1	
47	LBC20180531.1	
48	LBC20180625.2	
49	LBC20180521.4	
50	LBC20180521.1	
51	LBC20180523.2	
52	LBC20180516.2	
53	LBC20180518.1	
54	LBC20180521.3	
55	LBC20180612.6	
