TaxonID	3847
MappingPopulation	Zhongdou27_x_Jiunong20
Journal	Plant Breeding
Title	Unconditional and conditional QTL underlying the genetic interrelationships between soybean seed isoflavone, and protein or oil contents
Seed daidzein 13-1	Seed daidzein content
Seed daidzein 13-10	Seed daidzein content
Seed daidzein 13-11	Seed daidzein content
Seed daidzein 13-12	Seed daidzein content
Seed daidzein 13-13	Seed daidzein content
Seed daidzein 13-2	Seed daidzein content
Seed daidzein 13-3	Seed daidzein content
Seed daidzein 13-4	Seed daidzein content
Seed daidzein 13-5	Seed daidzein content
Seed daidzein 13-6	Seed daidzein content
Seed daidzein 13-7	Seed daidzein content
Seed daidzein 13-8	Seed daidzein content
Seed daidzein 13-9	Seed daidzein content
Seed genistein 13-1	Seed genistein content
Seed genistein 13-10	Seed genistein content
Seed genistein 13-11	Seed genistein content
Seed genistein 13-12	Seed genistein content
Seed genistein 13-2	Seed genistein content
Seed genistein 13-3	Seed genistein content
Seed genistein 13-4	Seed genistein content
Seed genistein 13-5	Seed genistein content
Seed genistein 13-6	Seed genistein content
Seed genistein 13-7	Seed genistein content
Seed genistein 13-8	Seed genistein content
Seed genistein 13-9	Seed genistein content
Seed glycitein 13-1	Seed glycitein content
Seed glycitein 13-2	Seed glycitein content
Seed glycitein 13-3	Seed glycitein content
Seed glycitein 13-4	Seed glycitein content
Seed glycitein 13-5	Seed glycitein content
Seed glycitein 13-6	Seed glycitein content
Seed glycitein 13-7	Seed glycitein content
Seed glycitein 13-8	Seed glycitein content
Seed glycitein 13-9	Seed glycitein content
Seed isoflavone 11-1	Seed isoflavone content
Seed isoflavone 11-10	Seed isoflavone content
Seed isoflavone 11-11	Seed isoflavone content
Seed isoflavone 11-12	Seed isoflavone content
Seed isoflavone 11-13	Seed isoflavone content
Seed isoflavone 11-15	Seed isoflavone content
Seed isoflavone 11-16	Seed isoflavone content
Seed isoflavone 11-17	Seed isoflavone content
Seed isoflavone 11-18	Seed isoflavone content
Seed isoflavone 11-2	Seed isoflavone content
Seed isoflavone 11-3	Seed isoflavone content
Seed isoflavone 11-4	Seed isoflavone content
Seed isoflavone 11-5	Seed isoflavone content
Seed isoflavone 11-6	Seed isoflavone content
Seed isoflavone 11-7	Seed isoflavone content
Seed isoflavone 11-8	Seed isoflavone content
Seed isoflavone 11-9	Seed isoflavone content
Seed oil 42-1	Seed oil content
Seed oil 42-10	Seed oil content
Seed oil 42-11	Seed oil content
Seed oil 42-12	Seed oil content
Seed oil 42-13	Seed oil content
Seed oil 42-14	Seed oil content
Seed oil 42-15	Seed oil content
Seed oil 42-16	Seed oil content
Seed oil 42-17	Seed oil content
Seed oil 42-18	Seed oil content
Seed oil 42-19	Seed oil content
Seed oil 42-2	Seed oil content
Seed oil 42-20	Seed oil content
Seed oil 42-21	Seed oil content
Seed oil 42-22	Seed oil content
Seed oil 42-23	Seed oil content
Seed oil 42-24	Seed oil content
Seed oil 42-25	Seed oil content
Seed oil 42-26	Seed oil content
Seed oil 42-27	Seed oil content
Seed oil 42-28	Seed oil content
Seed oil 42-29	Seed oil content
Seed oil 42-3	Seed oil content
Seed oil 42-30	Seed oil content
Seed oil 42-31	Seed oil content
Seed oil 42-32	Seed oil content
Seed oil 42-33	Seed oil content
Seed oil 42-34	Seed oil content
Seed oil 42-35	Seed oil content
Seed oil 42-36	Seed oil content
Seed oil 42-37	Seed oil content
Seed oil 42-38	Seed oil content
Seed oil 42-39	Seed oil content
Seed oil 42-4	Seed oil content
Seed oil 42-5	Seed oil content
Seed oil 42-6	Seed oil content
Seed oil 42-7	Seed oil content
Seed oil 42-8	Seed oil content
Seed oil 42-9	Seed oil content
